date,co2_ppm,n_hours_observed
2026-06-16,451.7,24
2026-06-17,448.5,24
2026-06-18,447.0,24
2026-06-19,454.1,24
2026-06-20,450.2,24
2026-06-21,448.2,24
2026-06-22,452.8,24
2026-06-23,453.0,24
2026-06-24,457.9,24
2026-06-25,454.6,24
2026-06-26,452.7,24
2026-06-27,449.2,24
2026-06-28,443.2,24
2026-06-29,439.7,24
2026-06-30,440.8,24
2026-07-01,439.8,24
2026-07-02,441.1,24
2026-07-03,441.2,24
2026-07-04,441.5,24
2026-07-05,441.6,24
2026-07-06,448.0,24
2026-07-07,459.0,24
2026-07-08,446.9,24
2026-07-09,443.4,24
2026-07-10,444.1,24
2026-07-11,444.4,24
2026-07-12,442.2,24
2026-07-13,442.7,24
2026-07-14,447.4,24
2026-07-15,446.1,24
2026-07-16,448.1,24
2026-07-17,438.2,24
2026-07-18,436.0,24
2026-07-19,437.0,24
2026-07-20,437.1,24
2026-07-21,437.7,24
2026-07-22,438.5,24
2026-07-23,438.2,24
2026-07-24,439.1,24
2026-07-25,439.5,24
2026-07-26,433.6,24
2026-07-27,433.5,24
2026-07-28,434.7,24
2026-07-29,443.1,24
2026-07-30,438.1,24
2026-07-31,436.5,24
2026-08-01,436.7,24
2026-08-02,439.0,24
2026-08-03,444.2,24
2026-08-04,440.2,24
2026-08-05,437.7,24
2026-08-06,435.4,24
2026-08-07,434.8,24
2026-08-08,437.2,24
2026-08-09,441.8,24
2026-08-10,440.1,24
2026-08-11,440.9,24
2026-08-12,442.7,24
2026-08-13,448.9,24
2026-08-14,452.3,24
2026-08-15,438.5,24
2026-08-16,440.0,24
2026-08-17,435.9,24
2026-08-18,438.8,24
2026-08-19,440.3,24
2026-08-20,432.3,24
2026-08-21,433.1,24
2026-08-22,434.0,24
2026-08-23,431.0,24
2026-08-24,433.3,24
2026-08-25,444.7,24
2026-08-26,440.7,24
2026-08-27,437.2,24
2026-08-28,434.8,24
2026-08-29,432.2,24
2026-08-30,432.2,24
2026-08-31,429.0,24
2026-09-01,432.5,24
2026-09-02,434.9,24
2026-09-03,435.3,24
2026-09-04,439.1,24
2026-09-05,436.1,24
2026-09-06,440.2,24
2026-09-07,442.4,24
2026-09-08,433.9,24
2026-09-09,432.5,24
2026-09-10,439.5,24
2026-09-11,438.5,24
2026-09-12,439.5,24
2026-09-13,447.5,24
